produce_slug,region_slug,season_months,peak_months,source_type,notes,storage_tip
asparagus,central-valley,"[2, 3, 4, 5, 6]","[3, 4, 5]",local,CA Delta and Salinas Valley produce the best domestic asparagus. Thinner spears aren't younger — just from a younger plant.,"Stand upright in a jar of water in the fridge, like flowers. Use within 3 days."
asparagus,imperial-valley,"[2, 3, 4, 5, 6]","[3, 4, 5]",local,CA Delta and Salinas Valley produce the best domestic asparagus. Thinner spears aren't younger — just from a younger plant.,"Stand upright in a jar of water in the fridge, like flowers. Use within 3 days."
asparagus,sinaloa,"[1, 7, 8, 9, 10, 11, 12]","[9, 10, 11]",import,CA Delta and Salinas Valley produce the best domestic asparagus. Thinner spears aren't younger — just from a younger plant.,"Stand upright in a jar of water in the fridge, like flowers. Use within 3 days."
asparagus,peru-coast,"[1, 7, 8, 9, 10, 11, 12]","[9, 10, 11]",import,CA Delta and Salinas Valley produce the best domestic asparagus. Thinner spears aren't younger — just from a younger plant.,"Stand upright in a jar of water in the fridge, like flowers. Use within 3 days."
avocado,san-diego-county,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","[4, 5, 6, 7]",local,"CA Hass in Jun-Aug has 3x the oil/fat content of early-season fruit (6g/oz vs 2g/oz). The richness and creaminess come from fat that accumulates while hanging on the tree. Mexican imports fill shelves year-round.",Ripen at room temp. Speed up in a paper bag with a banana. Refrigerate once ripe for 2-3 days.
avocado,ventura-county,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","[4, 5, 6, 7]",local,"CA Hass in Jun-Aug has 3x the oil/fat content of early-season fruit (6g/oz vs 2g/oz). The richness and creaminess come from fat that accumulates while hanging on the tree. Mexican imports fill shelves year-round.",Ripen at room temp. Speed up in a paper bag with a banana. Refrigerate once ripe for 2-3 days.
avocado,sinaloa,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 10, 11, 12]",import,"Mexican imports fill shelves year-round, peaking fall through spring. CA Hass in Jun-Aug has 3x the oil/fat content of early-season fruit.",Ripen at room temp. Speed up in a paper bag with a banana. Refrigerate once ripe for 2-3 days.
banana,costa-rica,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported, always available. No meaningful peak — global supply chain keeps shelves stocked.",Room temp until ripe. Separate from the bunch to slow ripening. Fridge turns peel brown but fruit stays good.
banana,ecuador,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],import,"Always imported, always available. No meaningful peak — global supply chain keeps shelves stocked.",Room temp until ripe. Separate from the bunch to slow ripening. Fridge turns peel brown but fruit stays good.
beet,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9, 10]",local,Grown year-round in CA. Golden beets are milder than red. Don't toss the greens — they're delicious sautéed.,Remove greens immediately (they draw moisture). Roots keep 2-3 weeks in the fridge.
beet,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9, 10]",local,Grown year-round in CA. Golden beets are milder than red. Don't toss the greens — they're delicious sautéed.,Remove greens immediately (they draw moisture). Roots keep 2-3 weeks in the fridge.
bell-pepper,central-valley,"[5, 6, 7, 8, 9, 10, 11, 12]","[7, 8, 9]",local,"Red, yellow, and orange are just riper green peppers — sweeter and more nutritious. CA grows huge volumes.",Refrigerate whole and unwashed. Use within a week. Cut peppers last 2-3 days.
bell-pepper,sinaloa,"[1, 2, 3, 4]","[2, 3]",import,"Red, yellow, and orange are just riper green peppers — sweeter and more nutritious. CA grows huge volumes.",Refrigerate whole and unwashed. Use within a week. Cut peppers last 2-3 days.
blackberry,central-coast,"[5, 6, 7, 8, 9]","[6, 7, 8]",local,"Look for plump, deeply colored berries with no red drupelets. Red means underripe and sour.",Don't wash until ready to eat. Refrigerate in a single layer on paper towels. Use within 2-3 days.
blackberry,sinaloa,"[1, 2, 3, 4, 10, 11, 12]","[1, 2, 11, 12]",import,"Look for plump, deeply colored berries with no red drupelets. Red means underripe and sour.",Don't wash until ready to eat. Refrigerate in a single layer on paper towels. Use within 2-3 days.
blood-orange,central-valley,"[1, 2, 3, 4, 12]","[1, 2, 3]",local,Moro variety is the most common in CA — deep burgundy flesh with berry-like overtones. Color varies by cold exposure.,"Room temp for a week, fridge for up to 2 weeks."
blood-orange,socal-coastal,"[1, 2, 3, 4, 12]","[1, 2, 3]",local,Moro variety is the most common in CA — deep burgundy flesh with berry-like overtones. Color varies by cold exposure.,"Room temp for a week, fridge for up to 2 weeks."
blueberry,central-valley,"[4, 5, 6, 7, 8, 9]","[5, 6, 7]",local,CA coastal regions produce excellent berries. The white bloom on blueberries is natural and a sign of freshness.,Refrigerate dry and unwashed. Wash just before eating. Keeps about a week.
blueberry,north-coast,"[4, 5, 6, 7, 8, 9]","[5, 6, 7]",local,CA coastal regions produce excellent berries. The white bloom on blueberries is natural and a sign of freshness.,Refrigerate dry and unwashed. Wash just before eating. Keeps about a week.
blueberry,chile-central,"[11, 12, 1, 2, 3]","[1, 2]",import,Counter-seasonal import. Quality is acceptable.,Refrigerate dry and unwashed. Wash just before eating. Keeps about a week.
blueberry,peru-coast,"[1, 2, 3, 10, 11, 12]","[1, 2, 11, 12]",import,CA coastal regions produce excellent berries. The white bloom on blueberries is natural and a sign of freshness.,Refrigerate dry and unwashed. Wash just before eating. Keeps about a week.
bok-choy,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 10, 11, 12]",local,Cool-weather crop that's sweeter after a light frost. Baby bok choy is more tender for quick stir-fries.,Refrigerate in a bag. Use within a week.
broccoli,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 10, 11, 12]",local,"CA grows 90%+ of US broccoli, mostly in Salinas Valley and Imperial Valley. Sweetest in cool months.",Refrigerate dry and unwashed. Use within 5 days — yellowing florets mean it's past prime.
broccoli,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 10, 11, 12]",local,"CA grows 90%+ of US broccoli, mostly in Salinas Valley and Imperial Valley. Sweetest in cool months.",Refrigerate dry and unwashed. Use within 5 days — yellowing florets mean it's past prime.
brussels-sprout,central-coast,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12]","[1, 10, 11, 12]",local,Frost converts starches to sugars — winter sprouts are noticeably sweeter. Smaller ones are more tender.,Refrigerate unwashed on the stalk if possible. Loose sprouts keep about a week.
cabbage,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 11, 12]",local,Year-round in CA but best in cool months. Savoy cabbage is more delicate; napa is the go-to for Asian cooking.,"Tightly wrapped in the fridge, cabbage lasts 2+ weeks. Cut surfaces oxidize — use quickly once sliced."
cabbage,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 11, 12]",local,Year-round in CA but best in cool months. Savoy cabbage is more delicate; napa is the go-to for Asian cooking.,"Tightly wrapped in the fridge, cabbage lasts 2+ weeks. Cut surfaces oxidize — use quickly once sliced."
cantaloupe,central-valley,"[4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9]",local,San Joaquin Valley is cantaloupe country. Ripe ones have a sweet floral scent at the stem end and a slight give.,"Ripen at room temp. Once ripe, refrigerate and eat within 3 days. Cut melon keeps 2 days covered in fridge."
cantaloupe,imperial-valley,"[4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9]",local,San Joaquin Valley is cantaloupe country. Ripe ones have a sweet floral scent at the stem end and a slight give.,"Ripen at room temp. Once ripe, refrigerate and eat within 3 days. Cut melon keeps 2 days covered in fridge."
carrot,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 10, 11, 12]",local,Year-round in CA but cold weather concentrates sugars. Farmers market carrots in winter are a revelation.,Remove greens. Store in a bag in the fridge crisper for 2-3 weeks.
carrot,imperial-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 10, 11, 12]",local,Year-round in CA but cold weather concentrates sugars. Farmers market carrots in winter are a revelation.,Remove greens. Store in a bag in the fridge crisper for 2-3 weeks.
cauliflower,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 10, 11, 12]",local,CA dominates US production. Purple and Romanesco varieties appear at farmers markets fall through spring.,Refrigerate in a loosely sealed bag. Use within a week.
cauliflower,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 10, 11, 12]",local,CA dominates US production. Purple and Romanesco varieties appear at farmers markets fall through spring.,Refrigerate in a loosely sealed bag. Use within a week.
celery,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 10, 11, 12]",local,CA grows most US celery year-round. Inner stalks (the heart) are more tender and less fibrous.,Wrap in aluminum foil and refrigerate — keeps crisp for 2+ weeks.
swiss-chard,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",local,Rainbow chard is the same plant in different colors. Stems take longer to cook than leaves — start them first.,Wrap in damp paper towel in the fridge. Use within 5 days.
cherry,central-valley,"[4, 5, 6]","[5, 6]",local,"Bing (late May-early Jun) is THE reference cherry. Rainier has highest sugar — premium pricing. Brooks (mid-Apr) is the earliest good cherry. CA season is only ~6 weeks.","Refrigerate immediately, unwashed, with stems on. Use within a week."
cherry,sacramento-valley,"[4, 5, 6]","[5, 6]",local,"Bing (late May-early Jun) is THE reference cherry. Rainier has highest sugar — premium pricing. Brooks (mid-Apr) is the earliest good cherry. CA season is only ~6 weeks.","Refrigerate immediately, unwashed, with stems on. Use within a week."
cherry,chile-central,"[11, 12, 1, 2]","[12, 1]",import,"Chilean cherries are surprisingly decent — cherries are hardier in cold storage than peaches. Worth buying in winter.","Refrigerate immediately, unwashed, with stems on. Use within a week."
cherimoya,socal-coastal,"[1, 2, 3, 4, 5, 11, 12]","[1, 2, 3, 4]",local,Mark Twain called it the most delicious fruit known to man. Creamy custard texture with banana-pineapple flavor.,Ripen at room temp until slightly soft. Refrigerate once ripe and eat within 2 days.
jalapeno,central-valley,"[5, 6, 7, 8, 9, 10, 11, 12]","[7, 8, 9, 10]",local,"CA grows jalapeños, serranos, Anaheims, and more. Summer heat produces hotter peppers.",Refrigerate in a paper bag for up to 2 weeks. Freeze whole for long-term storage.
jalapeno,sinaloa,"[1, 2, 3, 4]","[1, 2, 3]",import,"CA grows jalapeños, serranos, Anaheims, and more. Summer heat produces hotter peppers.",Refrigerate in a paper bag for up to 2 weeks. Freeze whole for long-term storage.
collard-greens,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 11, 12]",local,"Like Brussels sprouts, sweetened by frost. Sturdier than kale — great for braising or as a wrap substitute.",Refrigerate in a damp towel. Keeps about a week.
corn,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,Sugar converts to starch rapidly after picking. Same-day corn from a farmers market is a completely different food.,"Eat the day you buy it. If you must store, keep in the husk in the fridge — use within 2 days."
cucumber,central-valley,"[4, 5, 6, 7, 8, 9, 10, 11]","[6, 7, 8, 9]",local,Persian cucumbers from CA are thinner-skinned and more flavorful than standard slicers. No need to peel.,Wrap individually in paper towel and refrigerate. Use within a week.
cucumber,sinaloa,"[10, 11, 12, 1, 2, 3, 4, 5]","[12, 1, 2, 3]",import,Mexican imports fill the gap when CA production slows. Quality is good for slicers and Persians.,Wrap individually in paper towel and refrigerate. Use within a week.
date,coachella-valley,"[1, 2, 3, 9, 10, 11, 12]","[10, 11, 12]",local,Medjool dates from the Coachella Valley are world-class. Fresh dates have a completely different caramel texture than dried.,"Room temp for a month, fridge for 6 months, freezer for a year."
dragon-fruit,costa-rica,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9, 10]",import,"Red-fleshed varieties have more flavor than white. Look for bright, evenly colored skin without many brown spots.",Refrigerate ripe fruit for up to 5 days. Cut dragon fruit oxidizes quickly — eat immediately.
dragon-fruit,southeast-asia,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9, 10]",import,"Red-fleshed varieties have more flavor than white. Look for bright, evenly colored skin without many brown spots.",Refrigerate ripe fruit for up to 5 days. Cut dragon fruit oxidizes quickly — eat immediately.
eggplant,central-valley,"[5, 6, 7, 8, 9, 10, 11]","[7, 8, 9]",local,Japanese and Chinese varieties are more tender with fewer seeds than globe eggplant. Skin should be taut and glossy.,Room temp if using within 2 days. Refrigerate loosely wrapped for up to a week.
fava-bean,central-coast,"[3, 4, 5, 6]","[4, 5]",local,"A spring farmers market staple. Double-shelling is tedious but worth it — blanch, then pop beans from their skins.",Refrigerate in pods. Use within a few days — they toughen quickly.
fava-bean,central-valley,"[3, 4, 5, 6]","[4, 5]",local,"A spring farmers market staple. Double-shelling is tedious but worth it — blanch, then pop beans from their skins.",Refrigerate in pods. Use within a few days — they toughen quickly.
fennel,central-coast,"[1, 2, 3, 4, 5, 10, 11, 12]","[1, 2, 3, 11, 12]",local,Anise flavor mellows dramatically when roasted. The fronds make an excellent garnish or salad addition.,Refrigerate wrapped in a damp towel. Keeps about a week.
fig,central-valley,"[6, 7, 8, 9, 10]","[8, 9]",local,"Two crops: a small breba crop in June, then the main crop Aug–Sept. Black Mission and Kadota are CA classics.",Extremely perishable. Eat within 1-2 days. Handle gently — bruises quickly.
garlic,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9]",local,Green garlic appears at farmers markets in spring. Fresh-harvest garlic in summer is juicier and milder than stored.,"Store whole bulbs in a cool, dry, dark place. Good for months. Don't refrigerate."
grapefruit,coachella-valley,"[1, 2, 3, 4, 5, 6, 11, 12]","[1, 2, 3, 4]",local,CA Oro Blanco is sweeter and less bitter than standard varieties. Heavier fruit = juicier fruit.,"Room temp for a week, fridge for 2-3 weeks."
grapefruit,socal-coastal,"[1, 2, 3, 4, 5, 6, 11, 12]","[1, 2, 3, 4]",local,CA Oro Blanco is sweeter and less bitter than standard varieties. Heavier fruit = juicier fruit.,"Room temp for a week, fridge for 2-3 weeks."
grape,central-valley,"[5, 6, 7, 8, 9, 10, 11, 12, 1]","[7, 8, 9, 10]",local,CA produces 99% of US table grapes. New seedless varieties like Cotton Candy have transformed the category. Late-season Autumn Royal extends into January.,Refrigerate unwashed in a ventilated bag. Wash just before eating.
grape,chile-central,"[1, 2, 3, 4, 5, 12]","[1, 2, 3]",import,CA produces 99% of US table grapes. New seedless varieties like Cotton Candy have transformed the category.,Refrigerate unwashed in a ventilated bag. Wash just before eating.
green-bean,central-valley,"[4, 5, 6, 7, 8, 9, 10]","[6, 7, 8, 9]",local,"French haricots verts are thinner and more tender. Beans should snap cleanly — if they bend, they're old.",Refrigerate in a bag. Use within 5 days.
guava,socal-coastal,"[1, 2, 3, 4, 8, 9, 10, 11, 12]","[10, 11, 12]",local,Pink-fleshed varieties are sweeter. Ripe guavas smell powerfully fragrant from across the room.,Ripen at room temp. Refrigerate when ripe — use within 2 days.
guava,sinaloa,"[1, 2, 3, 4, 8, 9, 10, 11, 12]","[1, 10, 11, 12]",import,Pink-fleshed varieties are sweeter. Ripe guavas smell powerfully fragrant from across the room.,Ripen at room temp. Refrigerate when ripe — use within 2 days.
kale,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 11, 12]",local,Lacinato (Tuscan) kale is more tender than curly for salads. Frost-kissed winter kale is markedly sweeter.,Refrigerate in a bag with a dry paper towel. Keeps about a week.
kale,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 11, 12]",local,Lacinato (Tuscan) kale is more tender than curly for salads. Frost-kissed winter kale is markedly sweeter.,Refrigerate in a bag with a dry paper towel. Keeps about a week.
kiwi,central-valley,"[1, 2, 3, 4, 5, 10, 11, 12]","[1, 2, 3, 11, 12]",local,CA kiwis come from the Central Valley. Gold kiwi (usually imported) is sweeter with smooth edible skin.,Firm kiwis ripen at room temp in a few days. Refrigerate ripe kiwis for up to 4 weeks.
kiwi,chile-central,"[5, 6, 7, 8, 9, 10]","[6, 7, 8]",import,CA kiwis come from the Central Valley. Gold kiwi (usually imported) is sweeter with smooth edible skin.,Firm kiwis ripen at room temp in a few days. Refrigerate ripe kiwis for up to 4 weeks.
kiwi,new-zealand,"[5, 6, 7, 8, 9, 10]","[6, 7, 8]",import,CA kiwis come from the Central Valley. Gold kiwi (usually imported) is sweeter with smooth edible skin.,Firm kiwis ripen at room temp in a few days. Refrigerate ripe kiwis for up to 4 weeks.
kumquat,central-valley,"[1, 2, 3, 4, 11, 12]","[1, 2, 3]",local,Eat whole — the sweet skin balances the tart flesh. Nagami variety is most common in CA.,"Room temp for a few days, fridge for 2-3 weeks."
leek,central-coast,"[1, 2, 3, 4, 5, 10, 11, 12]","[1, 2, 3, 12]",local,The white and light green parts are what you eat. Split lengthwise and wash thoroughly — sand hides in the layers.,Refrigerate unwashed. Keeps 1-2 weeks.
lemon,ventura-county,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 12]",local,Eureka lemons dominate CA production. Year-round availability but winter lemons are juicier and more aromatic.,"Room temp for a week, fridge for a month. Zest before juicing to get both."
lemon,socal-coastal,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 12]",local,Eureka lemons dominate CA production. Year-round availability but winter lemons are juicier and more aromatic.,"Room temp for a week, fridge for a month. Zest before juicing to get both."
meyer-lemon,socal-coastal,"[1, 2, 3, 4, 11, 12]","[1, 2, 3, 12]",local,"A lemon-mandarin hybrid — sweeter, more floral, thinner-skinned. The signature CA citrus. Excellent for baking.","Room temp for a week, fridge for up to a month."
meyer-lemon,central-coast,"[1, 2, 3, 4, 11, 12]","[1, 2, 3, 12]",local,"A lemon-mandarin hybrid — sweeter, more floral, thinner-skinned. The signature CA citrus. Excellent for baking.","Room temp for a week, fridge for up to a month."
lettuce,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",local,Salinas Valley is America's Salad Bowl. Peak crispness in cooler months. Summer heat makes lettuce bolt and turn bitter.,Wrap in a damp paper towel and bag. Keeps about a week.
lime,sinaloa,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9]",import,"Nearly all US limes are imported from Mexico. Key limes are smaller, more aromatic, with more seeds.","Room temp for a week, fridge for 2-3 weeks. Roll on counter before juicing for maximum yield."
loquat,socal-coastal,"[3, 4, 5, 6]","[4, 5]",local,Often overlooked — grows abundantly in SoCal yards. Flavor is like a tangy apricot-plum. Brief farmers market season.,Very perishable. Eat within 2-3 days. Do not stack — they bruise easily.
lychee,sinaloa,"[5, 6, 7, 8]","[6, 7]",import,"Extremely short fresh season. The bumpy red shell peels easily to reveal translucent, perfumy flesh.",Refrigerate immediately. Keeps about a week. Shell darkens in fridge but fruit inside stays good.
lychee,southeast-asia,"[5, 6, 7, 8]","[6, 7]",import,"Extremely short fresh season. The bumpy red shell peels easily to reveal translucent, perfumy flesh.",Refrigerate immediately. Keeps about a week. Shell darkens in fridge but fruit inside stays good.
mandarin,central-valley,"[1, 2, 3, 4, 5, 11, 12]","[1, 2, 3, 12]",local,"Satsumas arrive first in November, followed by Clementines and Murcotts. CA mandarins are some of the world's best.","Room temp for a week, fridge for 2-3 weeks."
mandarin,socal-coastal,"[1, 2, 3, 4, 5, 11, 12]","[1, 2, 3, 12]",local,"Satsumas arrive first in November, followed by Clementines and Murcotts. CA mandarins are some of the world's best.","Room temp for a week, fridge for 2-3 weeks."
mango,sinaloa,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",import,"April-June Mexican Ataulfo is dramatically better than any other time/variety. Look for uniformly golden-yellow, slightly wrinkled fruit. Don't judge ripeness by color — judge by squeeze and aroma.",Ripen at room temp. Refrigerate once ripe for 3-5 days.
mango,peru-coast,"[1, 2, 3, 10, 11, 12]","[1, 2, 12]",import,Mexican Ataulfo (honey) mangoes are supremely creamy. Don't judge ripeness by color — judge by squeeze and aroma.,Ripen at room temp. Refrigerate once ripe for 3-5 days.
mango,ecuador,"[1, 2, 3, 10, 11, 12]","[1, 2, 12]",import,Mexican Ataulfo (honey) mangoes are supremely creamy. Don't judge ripeness by color — judge by squeeze and aroma.,Ripen at room temp. Refrigerate once ripe for 3-5 days.
mango,brazil,"[1, 2, 3, 10, 11, 12]","[1, 2, 12]",import,Mexican Ataulfo (honey) mangoes are supremely creamy. Don't judge ripeness by color — judge by squeeze and aroma.,Ripen at room temp. Refrigerate once ripe for 3-5 days.
button-mushroom,central-coast,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 10, 11, 12]",local,"Cultivated varieties (button, cremini, shiitake) are year-round. Wild chanterelles and porcini appear in fall/winter rains.",Store in a paper bag in the fridge. Never seal in plastic — they get slimy.
navel-orange,central-valley,"[1, 2, 3, 4, 5, 6, 11, 12]","[1, 2, 3, 12]",local,CA's flagship citrus. The navel is actually a conjoined twin orange. Best for eating; Valencia is better for juicing.,"Room temp for a week, fridge for 2-3 weeks."
navel-orange,socal-coastal,"[1, 2, 3, 4, 5, 6, 11, 12]","[1, 2, 3, 12]",local,CA's flagship citrus. The navel is actually a conjoined twin orange. Best for eating; Valencia is better for juicing.,"Room temp for a week, fridge for 2-3 weeks."
valencia-orange,central-valley,"[3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8]",local,The juicing orange. Green patches on skin in summer are normal (regreening) and don't affect quality or flavor.,"Room temp for a week, fridge for several weeks."
valencia-orange,socal-coastal,"[3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8]",local,The juicing orange. Green patches on skin in summer are normal (regreening) and don't affect quality or flavor.,"Room temp for a week, fridge for several weeks."
nectarine,central-valley,"[6, 7, 8, 9]","[7, 8]",local,"Snow Queen (late Jun) is the sweetest. Fantasia (late Jul) is the reference standard. Independence (mid-Jul) has rich tangy-sweet flavor. Arctic series (white, farmers markets) spans the whole season.",Ripen at room temp stem-end down. Refrigerate once ripe — use within 3 days.
nectarine,chile-central,"[12, 1, 2, 3]",[],import,"Same cold-chain issues as imported peaches. Plums and cherries import better than nectarines.",Ripen at room temp stem-end down. Refrigerate once ripe — use within 3 days.
onion,central-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[4, 5, 6, 7, 8, 9]",local,Spring onions at farmers markets are milder and sweeter. Stockton Red onions are a CA specialty in late spring.,"Store whole onions in a cool, dry, dark place. Cut onions: wrap tightly and fridge for a few days."
onion,imperial-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[4, 5, 6, 7, 8, 9]",local,Spring onions at farmers markets are milder and sweeter. Stockton Red onions are a CA specialty in late spring.,"Store whole onions in a cool, dry, dark place. Cut onions: wrap tightly and fridge for a few days."
papaya,sinaloa,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",import,Maradol (Mexican) papayas are large with salmon-pink flesh. Solo papayas from Hawaii are smaller and sweeter.,Ripen at room temp until skin is mostly yellow and fruit gives slightly. Refrigerate ripe for 2-3 days.
papaya,guatemala,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 6]",import,Maradol (Mexican) papayas are large with salmon-pink flesh. Solo papayas from Hawaii are smaller and sweeter.,Ripen at room temp until skin is mostly yellow and fruit gives slightly. Refrigerate ripe for 2-3 days.
parsnip,central-coast,"[1, 2, 3, 4, 10, 11, 12]","[1, 2, 11, 12]",local,Needs frost to convert starch to sugar — winter parsnips are dramatically sweeter. Roast to caramelize.,Refrigerate in a bag. Keeps 2-3 weeks.
passion-fruit,socal-coastal,"[1, 2, 3, 4, 5]","[2, 3, 4]",local,"Wrinkled skin means ripe, not old. The more shriveled, the sweeter. Intensely aromatic pulp with edible seeds.",Ripen at room temp until wrinkled. Refrigerate ripe fruit for up to a week.
passion-fruit,costa-rica,"[6, 7, 8, 9, 10, 11, 12]","[7, 8, 9, 10]",import,"Wrinkled skin means ripe, not old. The more shriveled, the sweeter. Intensely aromatic pulp with edible seeds.",Ripen at room temp until wrinkled. Refrigerate ripe fruit for up to a week.
peach,central-valley,"[5, 6, 7, 8, 9]","[7, 8]",local,"Late July-early Aug is peak. O'Henry (early Aug) is the benchmark yellow peach. Elegant Lady (Jul) dominates grocery stores — bred for shipping, not flavor. Suncrest (mid-Jul, farmers market only) is legendary.","Ripen at room temp stem-end down. Once ripe, refrigerate and eat within 3 days."
peach,chile-central,"[12, 1, 2, 3]",[],import,"Chilean peaches suffer from long cold chain + shipping varieties. Generally not worth buying — high mealiness risk.","Ripen at room temp stem-end down. Once ripe, refrigerate and eat within 3 days."
